id,slaveId,datStart,datEnd,duration,channel1,channel2,channel3,channel4,error
124,2,2021-09-08 14:31:33.303,2021-09-08 14:48:13.290,1000,1,2,3,0,0
125,2,2021-09-08 14:48:13.290,2021-09-08 14:56:33.260,500,1,0,3,0,0
126,2,2021-09-08 14:56:33.260,2021-09-08 15:13:13.277,1000,1,2,3,0,0
127,2,2021-09-08 15:13:13.277,2021-09-08 15:21:33.240,500,1,0,3,0,0
128,2,2021-09-08 15:21:33.240,2021-09-08 15:29:03.930,451,1,2,3,0,0
129,2,2021-09-08 15:29:03.930,2021-09-08 15:29:34.313,30,0,0,0,0,0
130,2,2021-09-08 15:29:34.313,2021-09-08 15:35:55.860,382,0,0,0,0,1
131,2,2021-09-08 15:35:55.860,2021-09-08 15:51:50.450,955,1,2,3,0,0
132,2,2021-09-08 15:51:50.450,2021-09-08 16:00:10.427,500,1,0,3,0,0
133,2,2021-09-08 16:00:10.427,2021-09-08 16:16:50.437,1000,1,2,3,0,0
134,2,2021-09-08 16:16:50.437,2021-09-08 16:25:10.423,500,1,0,3,0,0
135,2,2021-09-08 16:25:10.423,2021-09-08 16:41:50.417,1000,1,2,3,0,0
136,2,2021-09-08 16:41:50.417,2021-09-08 16:50:10.360,500,1,0,3,0,0
137,2,2021-09-08 16:50:10.360,2021-09-08 17:06:50.387,1000,1,2,3,0,0
138,2,2021-09-08 17:06:50.387,2021-09-08 17:15:10.370,500,1,0,3,0,0
139,2,2021-09-08 17:15:10.370,2021-09-08 17:31:50.380,1000,1,2,3,0,0
140,2,2021-09-08 17:31:50.380,2021-09-08 17:40:10.323,500,1,0,3,0,0
141,2,2021-09-08 17:40:10.323,2021-09-08 17:56:50.330,1000,1,2,3,0,0
142,2,2021-09-08 17:56:50.330,2021-09-08 18:05:10.287,500,1,0,3,0,0
143,2,2021-09-08 18:05:10.287,2021-09-08 18:21:50.297,1000,1,2,3,0,0
144,2,2021-09-08 18:21:50.297,2021-09-08 18:30:10.303,500,1,0,3,0,0
145,2,2021-09-08 18:30:10.303,2021-09-08 18:46:50.277,1000,1,2,3,0,0
146,2,2021-09-08 18:46:50.277,2021-09-08 18:55:10.247,500,1,0,3,0,0
147,2,2021-09-08 18:55:10.247,2021-09-08 19:11:50.253,1000,1,2,3,0,0
148,2,2021-09-08 19:11:50.253,2021-09-08 19:20:10.203,500,1,0,3,0,0
149,2,2021-09-08 19:20:10.203,2021-09-08 19:36:50.327,1000,1,2,3,0,0
150,2,2021-09-08 19:36:50.327,2021-09-08 19:45:10.197,500,1,0,3,0,0
151,2,2021-09-08 19:45:10.197,2021-09-08 20:01:50.197,1000,1,2,3,0,0
152,2,2021-09-08 20:01:50.197,2021-09-08 20:10:10.187,500,1,0,3,0,0
